umap_1,umap_2
10.6301985,-5.8902473
2.0864744,-3.4706116
7.781136,-5.779382
-5.111247,3.4314194
18.096281,-1.141473
0.19832082,5.94383
8.17957,6.0434694
10.78932,8.6971035
10.915862,-9.961432
6.94959,4.3278666
2.617203,3.8033957
-7.323863,-4.70055
-4.345857,0.90541005
8.924962,-8.486174
-1.886241,3.9704103
-3.34173,7.997332
-7.3907366,-5.0399265
7.9804087,0.11215686
-0.29736632,6.173508
3.3898904,-9.520971
6.56667,10.163555
18.265219,-1.2433406
10.760295,8.767103
7.277215,2.8800085
-7.805461,-7.171199
-3.3735082,8.040708
0.13117595,5.5854855
-4.8995757,1.0535376
4.7416344,-14.914548
-0.20086943,3.084168
10.498525,-7.416303
-1.6489632,-8.273826
3.7452056,-5.75451
1.12126,-9.594135
3.7468054,-5.818201
10.991086,2.33125
7.26402,-1.9443005
-3.563916,11.503565
1.4020824,3.8141928
1.2738147,10.591305
-3.5183036,11.530477
1.9491892,1.9462565
0.5858354,8.249837
4.835164,7.2954717
7.828441,-5.362229
8.16634,-8.69749
2.7136235,0.8520288
-2.8650706,4.6574626
-2.7111607,4.3539925
4.187312,-8.652583
7.14947,-1.0720595
-2.7313917,4.386805
7.3107214,2.9153643
7.6170692,-5.189215
18.096653,-1.1252505
8.189548,6.04693
1.763915,3.3604264
4.938765,0.60219854
5.0103273,-15.432169
3.4097788,-8.839678
2.4997766,3.4605334
-4.9335785,1.0567348
1.6935111,0.77907425
13.262836,-6.968643
-7.8043666,-7.1659336
1.6462584,1.9413421
7.599413,-5.3362727
6.7268972,10.164091
2.8355844,12.71816
2.752282,4.705767
4.9420204,-14.590202
5.0176153,-15.438173
-1.8157992,0.45719722
7.6720853,3.5334675
-4.7452674,-6.9562783
6.4917054,3.8453765
4.76159,-15.035844
1.0046145,3.1420224
2.4358544,2.6897345
2.5619597,2.877567
10.840162,8.687383
2.25745,2.723905
0.25332588,5.915749
4.5683904,3.0292325
2.4644501,2.5242422
16.600636,2.8030226
-0.9022187,-5.267493
-4.543468,0.92076856
7.892863,-5.418421
3.906903,0.9645846
2.2532196,2.754361
10.665139,-5.7268357
-4.8292155,0.90852183
11.001735,9.123222
7.916346,-5.4468603
-4.795541,0.92766166
-4.631202,0.9504608
8.395421,-1.212264
6.9635653,3.281283
7.6099796,-1.7753365
6.976321,4.29506
-4.7515187,-8.911132
1.8958615,1.7941368
5.1303477,0.025274305
7.54917,-0.42960188
9.396148,1.9297158
7.7840075,-5.4549317
-4.674957,0.959614
18.174103,-1.2466128
8.360588,-8.481941
-1.802811,0.48122498
1.759351,3.434286
2.5425613,2.8703425
6.5290604,3.8576212
-4.1974807,0.9023728
7.9612803,0.06365903
1.1477482,3.1415164
9.216241,-3.5546904
7.9370522,-5.404927
11.575331,-5.2086883
9.748757,-5.1824036
2.5336978,-4.3006806
2.4090323,3.168626
2.6093347,3.780439
11.90168,4.249364
14.990504,2.8964844
1.3735845,3.8597534
-4.053217,12.108477
-3.2349517,8.236199
8.237844,6.0448127
4.87271,-15.069007
-1.6617409,-9.448411
2.7569232,4.710001
5.1162233,0.021498492
2.4548926,3.349358
4.6992383,2.5084007
7.18932,9.735464
11.596432,8.902454
8.742159,-1.1288061
2.4517276,3.6357474
9.31184,1.9474608
10.478764,-7.412148
3.420171,-8.813642
4.661718,5.9333444
-1.2967427,-9.240723
7.168356,2.9839365
3.7125547,-5.709072
-1.7930532,0.36462948
-7.3230753,-4.6659656
-0.31560162,-4.712572
3.5519373,-5.4900413
7.167979,-1.1524692
6.835461,9.5253
-1.7557946,0.4069034
4.8890386,-15.150662
-3.1998532,-2.5434666
18.2508,-1.2469649
2.2484846,2.6790154
16.600668,2.8030329
2.7563362,4.710819
4.6615925,0.45491576
14.669069,0.032639503
2.9051669,-0.68626124
2.5068934,3.4672847
1.3837457,3.8286579
1.8053137,1.1735109
0.19209278,5.953135
-0.32268134,6.0819545
7.738181,4.629007
-4.7431803,-8.899326
-4.648329,3.3881485
7.001038,3.1413558
2.291281,2.7595494
2.3864825,2.6342256
-3.8201916,11.661403
13.534863,8.646799
4.0211315,-2.2868638
7.8774767,-0.22074027
2.7564468,4.709723
4.0142417,-2.446094
3.4880586,-3.077405
7.7950044,-5.5693455
8.225831,6.0234036
1.2349534,3.0416105
1.7404951,-0.6293719
1.0689927,-9.592136
0.9282935,0.8827808
3.766375,-2.7886078
10.6362505,1.8905758
3.6699533,-5.2117653
16.60025,2.8039308
1.4598247,-0.14617166
15.306683,1.0837299
9.377601,-3.5045266
10.102321,1.5218863
-4.1734624,0.85166556
5.020148,1.5189316
1.7310675,-2.8566964
-2.626202,7.6046515
7.352665,3.7569232
3.096892,7.6458373
-10.2684555,1.3457246
13.943508,5.782759
3.132745,7.912908
10.429622,4.8748894
6.479196,9.364305
8.63898,-9.124665
2.173275,-6.5445476
10.947141,0.9877122
7.022287,3.1778681
-1.4082961,2.3299122
4.814463,-15.068274
6.140928,-12.3291235
-1.6324949,-8.25731
1.7782562,-2.5580237
4.764597,0.5679405
10.351709,1.1542172
3.4222217,-8.82479
0.8975122,1.1609963
11.917886,4.243293
6.5184374,9.493475
3.997636,-6.671339
-0.69843125,3.5943658
2.5751903,7.5978193
4.521103,2.3653939
5.7728305,-12.1638
4.8590355,0.5933453
0.26377928,5.9211473
-0.23905323,-1.5223047
0.25457177,5.7649746
-10.271211,1.3427062
1.0270677,0.24361157
7.816018,-5.3580236
1.89916,-0.62673485
-3.1991599,-2.5457184
4.528312,6.7890677
2.868918,7.6089106
4.82953,-15.08754
4.8323245,7.27832
5.5780964,-0.3584817
-0.45305005,-4.272455
8.865854,-8.484514
-3.7972622,11.622454
1.9619112,-0.88684946
11.226606,11.96186
7.812997,-5.345373
-3.8130717,11.613755
18.19031,-1.2912629
-0.20379643,-0.6889694
-3.1978962,-2.5443993
-3.2032363,8.072754
7.956819,-8.659975
10.631537,-5.8944917
8.659707,-9.198791
6.4409623,9.834719
15.320739,1.0914661
-1.4394777,2.3990142
3.0591578,7.7155313
1.0722306,-9.596787
2.556983,7.582975
3.92474,-2.161777
18.207066,-1.2977852
-0.516615,-0.75668085
3.5239644,-6.188397
10.136725,2.3005395
8.3818,-8.766047
11.414609,-3.072019
11.201589,5.5383296
6.4915595,3.8410952
9.053993,-11.8854
-1.1414297,3.2106276
9.274635,-9.020465
2.6913114,7.8643746
8.900699,-8.5974245
-10.271577,1.3426207
1.5264987,11.016771
-1.223444,-0.744055
7.8310404,-6.8429933
-0.21638814,-4.3136525
9.203738,-3.581035
9.212495,-11.287738
5.7834544,-12.199925
1.3534085,0.060893983
5.57734,-0.35876969
-2.77657,7.624134
-0.8516801,-5.2356305
-5.041383,-14.852944
3.517959,-5.358709
6.40985,9.725062
10.6252575,5.7167473
4.21638,9.480214
-1.2747247,-9.195578
4.709082,6.6533666
6.4225407,5.4499135
13.936389,-10.219161
-0.9547798,-0.22888272
7.984205,-8.638537
-0.28586036,3.0178487
-7.630753,0.71770936
0.2491619,5.9296584
-10.271261,1.3428899
10.91239,-9.956998
-5.9547873,6.301814
4.5748515,-3.386856
-2.7741015,4.4427648
-2.3256967,2.238967
9.216728,-11.278043
3.6176946,-6.873178
6.01075,-12.534846
-10.271907,1.3420786
14.82014,-3.9812996
8.85993,-8.516916
3.979105,-6.658514
-0.27339542,3.192676
3.961544,-2.363288
1.6002711,-2.322748
7.3024454,-5.4235764
